child_id,chsex,chethnic,chlang,chldrel,preprim,agegr1,lang_math_test,verbal_score,math_score,lang_instr,raw_lang,perco_lang,raw_maths,perco_maths,lang_primary,typesite_r1,zwfa,zhfa,zbfa,underweight,stunting,thinness,caredu_r1,careage_r1,caresex_r1,carerel_r1,carecantread_r1,ownlandhse_r1,typesite_r3,hhsize,wi_new,hq_new,sv_new,cd_new,drwaterq_new,toiletq_new,elecq_new,cookingq_new,aniany,ownhouse,hwork_r5,no_activ,type_activ,region,hghgrade_4,hghgrade_final,hghgrade_4_num,hghgrade_final_num,care_educ_num,active,wage_employ,self_employ,wage_employII,self_employII,IMTI,E_is
11005,Female,Gurage,Amharic,2,1,7,Amharic,181,8,English,20,83.33333587646484,18,64.28571319580078,Amharic,1,-1.01,-0.9500000000000001,-0.66,0,0,0,8,29,2,1,0,0,1,5,0.5111111402511597,0.38333332538604736,0.75,0.4000000059604645,1,1,1,0,0,0,0,NA,NA,Oromia,14,14,14,14,8,0,0,0,0,0,0,0
21009,Male,Amhara,Amharic,7,1,6,Amharic,137,3,Amharic,10,41.66666793823242,5,17.85714340209961,Amharic,1,-1.72,-0.32,-2.52,0,0,1,0,28,2,1,1,1,1,4,0.4472222328186035,0.2916666567325592,0.75,0.30000001192092896,1,1,1,0,0,0,NA,NA,NA,Oromia,7,7,7,7,0,NA,NA,NA,NA,NA,0,1
41001,Male,Amhara,Amharic,7,0,7,Amharic,167,1,Amharic,12,50,11,39.28571319580078,Amharic,1,-2.73,-2.72,-1.16,1,1,0,0,49,2,1,1,1,1,8,0.3638888895511627,0.0416666679084301,0.75,0.30000001192092896,1,1,1,0,1,1,0,NA,NA,Amhara,8,14,8,14,0,0,0,0,0,0,6,0.75
41002,Female,Amhara,Amharic,2,0,6,Amharic,132,4,Amharic,18,75,10,35.71428680419922,Amharic,1,-1.96,-2.1,-0.88,0,1,0,0,22,2,2,1,0,1,5,0.33888888359069824,0.3166666626930237,0.5,0.20000000298023224,1,1,0,0,1,1,0,1,11,Amhara,9,9,9,9,0,0,NA,1,NA,1,6,0.75
41003,Male,Amhara,Amharic,7,0,6,Amharic,192,16,Amharic,19,79.16666412353516,23,82.14286041259766,Amharic,1,-0.32,1.25,-1.84,0,0,0,5,38,2,1,0,0,1,7,0.4492063522338867,0.2976190447807312,0.75,0.30000001192092896,1,1,1,0,1,1,0,NA,NA,Amhara,12,14,12,14,5,0,0,0,0,0,6,0.75
41004,Female,Amhara,Amharic,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.01,-0.23,0.13,0,0,0,5,15,2,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amhara,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0.75
41005,Male,Amhara,Amharic,7,0,7,NA,54,NA,English,15,62.5,17,60.71428680419922,NA,1,-1.24,-1.22,-0.67,0,0,0,3,40,2,1,0,1,1,7,0.37460318207740784,0.2738095223903656,0.75,0.10000000149011612,1,1,1,0,0,0,0,1,13,Amhara,10,10,10,10,3,0,1,NA,1,NA,0,0.75
41006,Female,Amhara,Amharic,7,0,7,Amharic,NA,NA,Amharic,12,50,9,32.14285659790039,Amharic,1,-1.07,0.09,-1.78,0,0,0,0,42,2,1,1,1,2,2,0.41111111640930176,0.0833333358168602,0.75,0.4000000059604645,1,1,1,0,1,0,0,NA,NA,Amhara,6,6,6,6,0,0,0,0,0,0,6,0.75
41007,Male,Amhara,Amharic,7,0,7,Amharic,158,6,Amharic,18,75,22,78.57142639160156,Amharic,1,-0.99,-0.5700000000000001,-0.99,0,0,0,0,50,2,3,1,1,1,5,0.4555555582046509,0.3166666626930237,0.75,0.30000001192092896,1,1,1,0,1,0,12,1,20,Amhara,10,13,10,13,0,1,0,0,0,0,6,0.75
41008,Female,Amhara,Amharic,7,0,8,Amharic,128,2,Amharic,13,54.16666793823242,4,14.285714149475098,Amharic,1,-3.2,-3.43,-1.1500000000000001,2,2,0,0,40,2,1,1,1,1,4,0.3472222089767456,0.2916666567325592,0.75,0,1,1,1,0,0,0,0,NA,NA,Amhara,6,7,6,7,0,0,0,0,0,0,6,0.75
41009,Male,Amhara,Amharic,7,0,6,Amharic,183,2,English,19,79.16666412353516,10,35.71428680419922,Amharic,1,-1.93,-2.7600000000000002,0.01,0,1,0,8,30,2,1,0,1,1,3,0.5185185074806213,0.3055555522441864,0.75,0.5,1,1,1,0,0,0,0,1,10,Amhara,13,14,13,14,8,0,NA,1,NA,1,6,0.75
41010,Male,Amhara,Amharic,7,0,8,Amharic,177,12,English,13,54.16666793823242,18,64.28571319580078,Amharic,1,-2.2,-1.23,-2.18,1,0,1,0,22,2,5,1,0,1,4,0.3777777850627899,0.3333333432674408,0.5,0.30000001192092896,1,0,1,0,1,0,10,1,9,Amhara,10,13,10,13,0,1,NA,1,NA,1,6,0.75
41011,Male,Oromo,Amharic,7,0,5,Amharic,184,6,English,16,66.66666412353516,11,39.28571319580078,Amharic,1,-0.09,1.49,-1.69,0,0,0,12,45,2,1,0,1,1,5,0.6833333373069763,0.6000000238418579,0.75,0.699999988079071,1,1,1,0,0,1,0,NA,NA,Amhara,NA,14,NA,14,12,0,0,0,0,0,6,0
41012,Male,Amhara,Amharic,7,1,7,Amharic,170,11,Amharic,10,41.66666793823242,17,60.71428680419922,Amharic,1,-2.08,-3.67,0.78,1,2,0,0,39,2,1,1,1,1,8,0.4138888716697693,0.2916666567325592,0.75,0.20000000298023224,1,1,1,0,1,1,0,NA,NA,Amhara,9,11,9,11,0,0,0,0,0,0,6,0.75
41013,Female,Amhara,Amharic,7,0,6,Amharic,121,3,Amharic,20,83.33333587646484,10,35.71428680419922,Amharic,1,-2.43,-1.73,-1.98,1,0,0,7,19,2,1,0,0,1,3,0.385185182094574,0.3055555522441864,0.75,0.10000000149011612,1,1,1,0,1,0,0,1,12,Amhara,10,13,10,13,7,0,1,NA,0,0,6,0.75
41014,Female,Amhara,Amharic,7,0,9,Amharic,162,5,Amharic,15,62.5,12,42.85714340209961,Amharic,1,-4.48,-4.72,-1.82,2,2,0,2,27,2,1,0,0,1,8,0.4069444537162781,0.2708333432674408,0.75,0.20000000298023224,1,1,1,0,1,1,0,NA,NA,Amhara,10,13,10,13,2,0,0,0,0,0,6,0.75
41015,Male,Amhara,Amharic,7,0,7,Amharic,165,12,Amharic,19,79.16666412353516,21,75,Amharic,1,-1.62,-1.49,-0.9500000000000001,0,0,0,0,58,2,3,1,0,1,8,0.5611110925674438,0.3333333432674408,0.75,0.6000000238418579,1,1,1,0,0,1,0,NA,NA,Amhara,11,14,11,14,0,0,0,0,0,0,6,0.75
41017,Male,Amhara,Amharic,7,0,6,Amharic,201,21,Amharic,20,83.33333587646484,26,92.85713958740234,Amharic,1,-2.7800000000000002,-3.0300000000000002,-0.84,1,2,0,12,21,2,1,0,0,1,4,0.7333333492279053,0.75,0.75,0.699999988079071,1,1,1,0,1,1,0,NA,NA,Amhara,12,14,12,14,12,0,0,0,0,0,6,0.75
41018,Male,Amhara,Amharic,7,0,6,Amharic,191,7,English,15,62.5,19,67.85713958740234,Amharic,1,-2.2600000000000002,-1.94,-1.3900000000000001,1,0,0,5,24,2,1,0,1,1,7,0.6404762268066406,0.5714285969734192,0.75,0.6000000238418579,1,1,1,0,1,1,0,1,2,Amhara,10,13,10,13,5,0,NA,1,0,0,6,0.75
41019,Female,Amhara,Amharic,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.9400000000000001,-0.62,-0.87,0,0,0,0,40,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amhara,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.75
41020,Female,Amhara,Amharic,7,0,5,Amharic,141,14,Amharic,18,75,17,60.71428680419922,Amharic,1,-2.5,-0.4,-3.61,1,0,2,6,38,2,1,0,0,1,5,0.5777778029441833,0.38333332538604736,0.75,0.6000000238418579,1,1,1,0,1,0,9,1,13,Amhara,30,14,0,14,6,1,1,NA,1,NA,6,0.75
